Ceremony,Year,Location,Class,Category,Movie,Movie Code,Name,Nominees,Winner,Detail,Note
87,2014,"496 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,John Frederick|Bob Myers|Karl Rasche|Tom Lianza,True,Digital Apparatuses Technology,"This cost-effective display offered a stable, wide color gamut, allowing facility-wide adoption in feature animation and visual effects studios."
87,2014,"497 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Peter Braun,True,Camera Cranes,"This small cross-section system from Mad About Technology can operate from above or below the camera, achieving nearly impossible shots with repeatable movements through openings no larger than the camera itself."
87,2014,"498 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Robert Nagle|Allan Padelford,True,Camera Cranes,"The Biscuit Jr.'s unique chassis and portable driver pod enables traveling photography from a greater range of camera positions than previously possible, while keeping actors safe and the rig out of frame."
87,2014,"499 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Harold Milligan|Steven Krycho|Reiner Doetzkies,True,Digital Apparatuses Technology,"Texas Instruments' color-accurate, high-resolution, high-quality digital projection system has replaced most film-based projection systems in the theatrical environment."
87,2014,"500 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Cary Phillips|Nicolas Popravka|Philip Peterson|Colette Mullenhoff,True,Digital Imaging Technology,This comprehensive system allows artists to quickly enhance and modify character animation and simulation performances. It has become a crucial part of ILM's production workflow over the past decade.
87,2014,"501 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Tim Cotter|Roger Van Der Laan|Ken Pearce|GREG LaSALLE,True,Digital Imaging Technology,"The MOVA system provides a robust way to capture highly detailed, topologically consistent, animated meshes of a deforming object. This technology is fundamental to the facial pipeline at many visual effects companies. It allows artists to create character animation of extremely high quality."
87,2014,"502 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Dan Piponi|Kim Libreri|George Borshukov,True,Digital Imaging Technology,"The Universal Capture system broke new ground in the creation of realistic human facial animation. This technology produced an animated, high-resolution, textured mesh driven by an actor's performance."
87,2014,"503 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Marco Revelant|Alasdair Coull|Shane Cooper,True,Digital Imaging Technology,"Barbershop's unique architecture allows direct manipulation of full-density hair using an intuitive, interactive and procedural toolset, resulting in greatly enhanced productivity with finer-grained artistic control than is possible with other existing systems."
87,2014,"504 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Michael Sechrest|Chris King|Greg Croft,True,Digital Imaging Technology,"This software substantially improves an artist's ability to create specifically designed trees and vegetation by combining a procedural building process with the flexibility of intuitive, direct manipulation of every detail."
87,2014,"505 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Scott Peterson|Jeff Budsberg|Jonathan Gibbs,True,Digital Imaging Technology,"This toolset has a hierarchical spline system, a core data format and an artist-driven modeling tool, which have been instrumental in creating art-directed vegetation in animated films for nearly two decades."
87,2014,"506 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Erwin Coumans|Nafees Bin Zafar|Stephen Marshall,True,Digital Imaging Technology,"These pioneering systems demonstrated that large numbers of constrained rigid bodies could be used to animate visually complex, believable destruction effects with minimal simulation time."
87,2014,"507 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Brice Criswell|Ron Fedkiw,True,Digital Imaging Technology,"This system incorporates innovative research on many algorithms that provide accurate methods for resolving contact, collision and stacking into a mature, robust and extensible production toolset. The PhysBAM Destruction System was one of the earliest toolsets capable of depicting large-scale destruction with a high degree of design control."
87,2014,"508 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Ben Cole|Eric Parker|James O'Brien,True,Digital Imaging Technology,"The combined innovations in Kali and DMM provide artists with an intuitive, art-directable system for the creation of scalable and realistic fracture and deformation simulations. These tools established finite element methods as a new reference point for believable on-screen destruction."
